Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Pct.
1,"Simon Andersen, Long Beach St. (Big West)",So.,6-8,,9,22,2,30,0.667
2,"Jaylen Jasper, Stanford (MPSF)",So.,6-7,,6,19,2,26,0.654
3,"Tomas Gago, Purdue Fort Wayne (MIVA)",So.,6-8,,6,15,2,20,0.650
4,"TJ Murray, Lewis (MIVA)",So.,6-9,,6,18,2,26,0.615
5,"Blake Leeson, Ohio St. (MIVA)",Sr.,6-7,,7,16,1,25,0.600
6,"Kyle Piekarski, Loyola Chicago (MIVA)",Jr.,6-8,,8,18,3,27,0.556
7,"Tyler Mitchem, Lewis (MIVA)",So.,6-10,,7,18,2,30,0.533
8,"Dylan Missry, UCLA (MPSF)",Sr.,6-4,,7,23,1,44,0.500
9,"Jake Hanes, Ohio St. (MIVA)",So.,6-10,,7,37,7,64,0.469
10,"Michael Wexter, Pepperdine (MPSF)",Sr.,6-6,,7,24,3,45,0.467
11,"Jordan Ewert, Stanford (MPSF)",Sr.,6-4,,6,13,3,22,0.455
12,"Kyle Ensing, Long Beach St. (Big West)",Sr.,6-7,,9,42,11,69,0.449
13,"Reese Devilbiss, Ohio St. (MIVA)",Jr.,6-2,,7,19,3,37,0.432
14,"David Wieczorek, Pepperdine (MPSF)",Sr.,6-8,,7,23,5,42,0.429
15,"Pelegrin Vargas, Purdue Fort Wayne (MIVA)",Jr.,6-4,,6,28,6,53,0.415
16,"Corey Chavers, UC Santa Barbara (Big West)",Sr.,6-6,,11,42,6,87,0.414
17,"Maarten Bartels, Charleston (WV) (EIVA)",So.,6-4,,3,8,1,17,0.412
18,"Daniel Wetter, CSUN (Big West)",Fr.,6-5,,14,29,9,49,0.408
19,"Louis Richard, Long Beach St. (Big West)",Sr.,6-3,,8,13,2,27,0.407
20,"Vasilis Mandilaris, Barton (Conference Carolinas)",Sr.,6-5,,4,10,2,20,0.400
21,"Hunter Howell, CUI (MPSF)",Sr.,6-7,,10,18,4,37,0.378
22,"Daenan Gyimah, UCLA (MPSF)",Jr.,6-8,,7,14,5,24,0.375
23,"Lee Smith, Penn St. (EIVA)",Sr.,6-6,,3,8,1,19,0.368
24,"Richie Diedrich, Purdue Fort Wayne (MIVA)",Jr.,6-9,,6,14,4,28,0.357
25,"David Siebum, Ball St. (MIVA)",Sr.,6-4,,8,20,4,45,0.356
26,"Calvin Mende, Penn St. (EIVA)",Jr.,6-11,,4,18,5,37,0.351
27,"Kaleb Jenness, Ball St. (MIVA)",Fr.,6-6,,7,22,9,39,0.333
28,"George Huhmann, Princeton (EIVA)",Jr.,6-11,,13,40,14,81,0.321
29,"Aaron Koubi, UC Irvine (Big West)",Sr.,6-5,,9,25,8,53,0.321
30,"Sam Greenslade, George Mason (EIVA)",Jr.,6-7,,7,15,5,33,0.303
31,"Brandon Rattray, UCLA (MPSF)",Jr.,6-5,,7,28,14,47,0.298
32,"Collin Mahan, Loyola Chicago (MIVA)",Sr.,6-5,,7,21,4,59,0.288
33,"Parker Dixon, Princeton (EIVA)",Jr.,6-6,,13,52,18,119,0.286
34,"Martin Lallemand, Ohio St. (MIVA)",So.,6-4,,7,14,5,32,0.281
