Rank,Team,W,L,Pct.
1,Southern California (MPSF),4,0,1.000
1,Belmont Abbey (Conference Carolinas),3,0,1.000
1,Ohio St. (MIVA),3,0,1.000
1,Ball St. (MIVA),2,0,1.000
1,UC San Diego (Big West),2,0,1.000
1,Emmanuel (GA) (Conference Carolinas),1,0,1.000
1,Long Beach St. (Big West),1,0,1.000
1,Mount Olive (Conference Carolinas),1,0,1.000
1,North Greenville (Conference Carolinas),1,0,1.000
10,Purdue Fort Wayne (MIVA),2,1,0.667
11,Grand Canyon (MPSF),2,2,0.500
11,George Mason (EIVA),1,1,0.500
13,UC Santa Barbara (Big West),1,2,0.333
14,Saint Francis (EIVA),1,3,0.250
15,BYU (MPSF),0,2,0.000
15,Erskine (Conference Carolinas),0,4,0.000
15,Harvard (EIVA),0,3,0.000
15,LIU (DI Independent),0,3,0.000
15,Lees-McRae (Conference Carolinas),0,1,0.000
15,Lindenwood (MIVA),0,3,0.000
15,McKendree (MIVA),0,2,0.000
15,NJIT (EIVA),0,2,0.000
15,Princeton (EIVA),0,2,0.000
15,Tusculum (DI Independent),0,2,0.000
